numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
117;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8635;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
118;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7725;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
119;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);345;2025;IAT - Instituto Água e Terra (Antigo IAP)
121;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8738;2024;UEL - Universidade Estadual de Londrina
122;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7352;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
123;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7722;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
124;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7700;2024;UENP - Universidade Estadual do Norte do Paraná
126;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);6840;2024;UENP - Universidade Estadual do Norte do Paraná
127;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);172;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
127;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1149;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
129;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9254;2024;UEL - Universidade Estadual de Londrina
131;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8269;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
132;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9255;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
133;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9081;2024;UNESPAR - Universidade Estadual do Paraná
134;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9165;2024;UNESPAR - Universidade Estadual do Paraná
135;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8762;2024;UEL - Universidade Estadual de Londrina
136;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4541;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
136;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4541;2025;SESP - Secretaria de Estado da Segurança Pública
137;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8252;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
138;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8724;2024;UEL - Universidade Estadual de Londrina
139;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4094;2025;UEPG - Universidade Estadual de Ponta Grossa
140;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9157;2024;UNESPAR - Universidade Estadual do Paraná
141;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9646;2024;UNESPAR - Universidade Estadual do Paraná
142;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8896;2024;UEM - Universidade Estadual de Maringá
143;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8834;2024;UEL - Universidade Estadual de Londrina
144;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1317;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
144;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1317;2025;SESP - Secretaria de Estado da Segurança Pública
146;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);7444;2024;UENP - Universidade Estadual do Norte do Paraná
147;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3883;2025;DPC - Departamento de Polícia Civil - SESP
147;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3883;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
148;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9045;2024;UNESPAR - Universidade Estadual do Paraná
149;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8666;2024;UEL - Universidade Estadual de Londrina
151;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8579;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
152;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9445;2024;UNESPAR - Universidade Estadual do Paraná
154;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3054;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
154;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3054;2025;SESP - Secretaria de Estado da Segurança Pública
154;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3064;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
155;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4525;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
155;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4525;2025;SESP - Secretaria de Estado da Segurança Pública
159;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8520;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
160;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);893;2025;IAT - Instituto Água e Terra (Antigo IAP)
161;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4558;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
161;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4558;2025;SESP - Secretaria de Estado da Segurança Pública
162;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9390;2024;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
164;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9645;2024;UNESPAR - Universidade Estadual do Paraná
167;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9563;2024;UNESPAR - Universidade Estadual do Paraná
168;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9545;2024;UNESPAR - Universidade Estadual do Paraná
169;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9201;2024;UEL - Universidade Estadual de Londrina
170;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8995;2024;UEL - Universidade Estadual de Londrina
172;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9226;2024;UNESPAR - Universidade Estadual do Paraná
173;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9258;2024;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
174;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9394;2024;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
176;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1941;2025;UEPG - Universidade Estadual de Ponta Grossa
177;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8848;2024;UEM - Universidade Estadual de Maringá
178;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9414;2024;UEL - Universidade Estadual de Londrina
179;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);619;2025;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
180;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);536;2025;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
181;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4045;2025;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
182;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8968;2024;UENP - Universidade Estadual do Norte do Paraná
182;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8970;2024;UENP - Universidade Estadual do Norte do Paraná
182;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9023;2024;UENP - Universidade Estadual do Norte do Paraná
183;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1296;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
186;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8034;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
187;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5553;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
187;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);5553;2025;SESP - Secretaria de Estado da Segurança Pública
188;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8843;2024;UENP - Universidade Estadual do Norte do Paraná
190;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8513;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
193;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8547;2024;UENP - Universidade Estadual do Norte do Paraná
194;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2269;2025;UEM - Universidade Estadual de Maringá
195;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2598;2025;UEM - Universidade Estadual de Maringá
197;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1590;2025;UEM - Universidade Estadual de Maringá
198;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1569;2025;UEM - Universidade Estadual de Maringá
199;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9156;2024;UEM - Universidade Estadual de Maringá
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9292;2024;UENP - Universidade Estadual do Norte do Paraná
