cod_ibge,municipio,ano,populacao,total_despesas,total_pc,saude,educacao,administracao,saude_prop,educacao_prop,hhi,n_funcoes_declaradas,flag_negativo,score_if,score_lof,score,classe
4113429,Lidianópolis,2022,3433,27843422.180000003,8110.522044858725,7443537.23,5386503.11,3797361.65,0.2673355732596229,0.1934569348256745,0.15706595704714116,15,False,0.18703604865945672,0.031686350795803904,0.1248961695139956,Regular
4113429,Lidianópolis,2023,3711,30573783.670000006,8238.691368903263,8748465.47,6719271.61,4414762.65,0.28614271509300565,0.2197723279043532,0.16833921070498606,17,False,0.22001845915904022,0.023636393750065845,0.14146563299545045,Regular
4113429,Lidianópolis,2024,3989,42648726.44,10691.58346452745,11660907.4,6629163.66,4693111.89,0.27341748214697686,0.15543638024751297,0.18793200345620859,16,False,0.33743380830208475,0.018758056381817788,0.20996350753397797,Regular
4113429,Lidianópolis,2025,3987,39834648.85,9991.133396037121,11631140.57,7683848.7,5129480.24,0.29198551777870135,0.19289359695209163,0.16648826135076408,15,False,0.27346979413505507,0.008247834504322532,0.16738101028276206,Regular
4113452,Lindoeste,2020,4592,24614872.84,5360.381716027875,7814027.25,5091381.64,3174407.32,0.31745145712481365,0.2068416795445042,0.18001222060924263,13,False,0.12760631884725102,0.04097588641677604,0.09295414587506101,Regular
4113452,Lindoeste,2021,4488,25496512.67,5681.041147504457,7473300.62,6797170.46,3604088.94,0.29311069779332294,0.2665921629351988,0.1932972303418349,14,False,0.02453248433335236,0.004820750694103134,0.01664779087765267,Regular
4113452,Lindoeste,2022,4734,36504713.21,7711.177272919307,9734816.26,10514289.61,3021327.13,0.26667285958387615,0.2880255365797462,0.1836338562536455,13,False,0.23737675132433025,0.040032478867184286,0.15843904234147185,Regular
4113452,Lindoeste,2023,4980,36694568.5,7368.387248995984,9674225.53,10769718.05,4918854.91,0.26364189375874525,0.29349624454638296,0.19166378831387956,15,False,0.08285606971951748,0.05121064599555164,0.07019790022993114,Regular
4113452,Lindoeste,2024,5226,51593997.370000005,9872.559772292385,11381864.67,11375856.5,5055892.36,0.22060443559696213,0.22048798464711786,0.1650217324454406,13,False,0.20011292618162785,0.023228755639356585,0.12935925796471934,Regular
4113452,Lindoeste,2025,5217,56519972.21000001,10833.80720912402,13410375.98,13979739.64,7115559.03,0.2372679153162662,0.24734158728985686,0.1629916658276919,14,False,0.2981305353590086,0.031650023502984466,0.19153833061659892,Regular
4113502,Loanda,2020,23242,74142992.35000002,3190.043556922813,19850022.86,18035335.78,6976153.76,0.267726217014493,0.24325071336293316,0.17978107202172133,20,False,0.07955802191470296,0.021125709971692982,0.05618509713749897,Regular
4113502,Loanda,2021,23393,86161980.64000002,3683.2377480442874,24410408.28,21014999.18,7812934.19,0.28330834665919535,0.24390106893902985,0.1886031400950476,21,False,0.0665271959286896,0.026737217799237045,0.05061120467690857,Regular
4113502,Loanda,2022,23533,130864666.75,5560.900299579314,31412635.63,25433462.92,9906567.19,0.24003909084191358,0.19434934999366438,0.15248715524849807,22,False,0.30290175147384024,0.008145537890461171,0.1849992660404886,Regular
4113502,Loanda,2023,23673,125150084.49,5286.617010518312,32716877.95,25915856.74,11854558.78,0.26142114153038554,0.20707822008758436,0.1626768173865109,22,False,0.1239370862182031,0.03722416394419315,0.08925191730859912,Regular
4113502,Loanda,2024,23813,141389962.24000004,5937.511537395542,35266849.27,30231628.96,12962888.2,0.24942965335924538,0.21381736355996633,0.15665548671208296,22,False,0.09750299912962308,0.03916834536104923,0.07416913762219354,Regular
4113601,Lobato,2020,4819,25734526.830000002,5340.221379954348,5780393.51,4008490.91,3865984.97,0.2246162732341949,0.15576314794826945,0.1382212682849538,18,False,0.23566168219011607,0.04023812717917261,0.1574922601857387,Regular
4113601,Lobato,2021,4850,27515871.91,5673.375651546392,6740588.45,4430126.22,3758628.33,0.2449709197675939,0.16100257460458572,0.14599467664363244,18,False,0.20836005706046484,0.04021113912014185,0.14110048988433566,Regular
4113601,Lobato,2022,4798,36207758.93999999,7546.427457273862,8960179.43,6559696.97,5454829.17,0.24746572812882306,0.18116826785303386,0.15334170682380663,17,False,0.19708005730132014,0.02808742769479215,0.12948300545870894,Regular
4113601,Lobato,2023,4745,39741720.71,8375.494354056902,10105216.32,6630986.95,5137013.73,0.2542722393360607,0.16685203437433144,0.14465847198873855,18,False,0.3063621173554707,0.046630260960786596,0.20246937479759705,Regular
