numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;porte_municipio;driver_principal;tipo_anomalia;z_score_driver
1459;2022;Pregão Eletrônico;Homologado;Contratação de empresa especializada em serviço de manutenção preventiva e corretiva de lupas, microscopios, microtomo e termociclador para atender às necessidades das áreas animal, vegetal, biologia molecular e apoio técnico do Centro de Diagnóstico Marcos Enrietti. A contratação dos serviços busca garantir a confiabilidade dos resultados dos exames do CDME atendendo às exigências da ISO 17025 para laboratórios acreditados pelo Inmetro e credenciados pelo MAPA, para atendimento das demandas por um período de doze meses, conforme especificações no Memorando nº 040 2022 GLAB e Termo de Referência nº 017 2022 GLAB;ADAPAR-Agência de Defesa Agropecuária do Paraná;Menor Preço;6716204.0;2194000.0;2022-09-06;2022-10-14;TB_LICITACOES-2022.csv;contratação de empresa especializada em serviço de manutenção preventiva e corretiva de lupas, microscopios, microtomo e termociclador para atender às necessidades das áreas animal, vegetal, biologia molecular e apoio técnico do centro de diagnóstico marcos enrietti. a contratação dos serviços busca garantir a confiabilidade dos resultados dos exames do cdme atendendo às exigências da iso 17025 para laboratórios acreditados pelo inmetro e credenciados pelo mapa, para atendimento das demandas por um período de doze meses, conforme especificações no memorando nº 040 2022 glab e termo de referência nº 017 2022 glab;0.3266726263824029;False;38.0;2022;21;adapar-agencia de defesa agropecuaria do parana;;;;saude;0.10499877348792708;0.1710715533893659;0.005889603635768866;Regular;False;;;;
776;2020;Pregão Eletrônico;Homologado;"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE
MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS DE IMAGENS MÉDICAS,";FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;15828384.0;14640000.0;2020-08-14;2020-08-28;TB_LICITACOES-2020.csv;contratação de prestação de serviços contínuos de manutenção preventiva e corretiva em equipamentos de imagens médicas,;0.9249206994220004;False;14.0;2020;161;funeas-fundacao estatal de atencao em saude do estado do parana;;;;servicos;0.10499732487248363;0.17349012897291602;0.0022581187218350457;Regular;False;;;;
1580;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Fracassado;Aquisição de 12 licenças de usuários e 1 de administrador de Sistema de Gestão Jurídica, pelo período de 24 meses, em conjunto com os serviços de treinamento, configuração, manutenção e suporte técnico, conforme o Termo de Referência.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;15394800.0;;2024-12-11;;TB_LICITACOES-2024.csv;aquisição de 12 licenças de usuários e 1 de administrador de sistema de gestão jurídica, pelo período de 24 meses, em conjunto com os serviços de treinamento, configuração, manutenção e suporte técnico, conforme o termo de referência.;;False;;2024;73;der-departamento de estradas de rodagem do estado do parana;;;;educacao;0.10498809371658535;0.1710750756322837;0.005857620843037873;Regular;False;;;;
413;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;AQUISIÇÃO DE AR CONDICIONADOSPLIT HI WALL 9.000 BTUS;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;13135000.0;;2024-05-15;2024-06-11;TB_LICITACOES-2024.csv;aquisição de ar condicionadosplit hi wall 9.000 btus;;False;27.0;2024;173;funeas-fundacao estatal de atencao em saude do estado do parana;;;;outros;0.10498557761736031;0.17208184286567188;0.004341179744892971;Regular;False;;;;
1006;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de medicamentos  CEAF 05 para atender a demanda do Centro de Medicamentos do Paraná;SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE;Menor Preço;1092072630.0;499899510.0;2025-08-12;2025-10-01;TB_LICITACOES-2025.csv;aquisição de medicamentos ceaf 05 para atender a demanda do centro de medicamentos do paraná;0.45775298846194873;False;50.0;2025;85;sesa-funsaude-fundo estadual de saude do parana - funsaude;;;;saude;0.10497523630000521;0.16605673855148376;0.013352982922787417;Regular;False;;;;
1118;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de um kit Blackhawk XP135 dois motores, documentaçao e compo nentes necessários conforme STC, para substituir os motores de part number PT6A 21, seria l s number PCE 25724 e PCE 25725, da aeronave B eechcraft King Air C90B, matrícula PT OZL, na modalidade exchange , com as especificaçoes e características técnicas contidas no Termo de Referência, neste Edital e seus anexos.;CASA MILITAR-Casa Militar do Estado do Paraná;Menor Preço;664271710.0;;2024-08-30;2024-09-23;TB_LICITACOES-2024.csv;aquisição de um kit blackhawk xp135 dois motores, documentaçao e compo nentes necessários conforme stc, para substituir os motores de part number pt6a 21, seria l s number pce 25724 e pce 25725, da aeronave b eechcraft king air c90b, matrícula pt ozl, na modalidade exchange , com as especificaçoes e características técnicas contidas no termo de referência, neste edital e seus anexos.;;False;24.0;2024;16;casa militar-casa militar do estado do parana;;;;saude;0.10497473075913805;0.1704433668835682;0.006771776572492791;Regular;False;;;;
1697;2022;Pregão Eletrônico;Fracassado;Contratação de seguro total, com assistência de 24 horas de 123 veículos que compõe a frota do DER/PR.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;36233894.0;;2022-10-07;;TB_LICITACOES-2022.csv;contratação de seguro total, com assistência de 24 horas de 123 veículos que compõe a frota do der/pr.;;False;;2022;92;der-departamento de estradas de rodagem do estado do parana;;;;veiculos;0.10497403746483344;0.17033314175712558;0.006935381026395262;Regular;False;;;;
1267;2022;Pregão Eletrônico;Homologado;Aquisição de frutas, alho e cebola para atendimento ao Programa Nacional de Alimentação Escolar;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Menor Preço;2910290928.0;2739642016.0;2022-08-18;2022-09-27;TB_LICITACOES-2022.csv;aquisição de frutas, alho e cebola para atendimento ao programa nacional de alimentação escolar;0.9413636243860772;False;40.0;2022;223;fundepar-instituto paranaense de desenvolvimento educacional;;;;educacao;0.10496836173385622;0.17110931710821206;0.005756928672322459;Regular;False;;;;
831;2023;Pregão Eletrônico;Homologado;aquisição de equipamentos de informática;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;6648689.0;4149427.0;2023-07-13;2023-10-16;TB_LICITACOES-2023.csv;aquisição de equipamentos de informática;0.6240970212323061;False;95.0;2023;346;funeas-fundacao estatal de atencao em saude do estado do parana;;;;tecnologia;0.10496771618725599;0.17183426904828084;0.004667886895718761;Regular;False;;;;
1168;2023;Pregão Eletrônico;Homologado;A presente licitação tem por objeto o Registro de Preços, por um período de 1 ano, podendo ser prorrogado por igual período, para futura e eventual aquisição de arroz parboilizado, arroz polido, canjica, feijão preto, milho para pipoca, destinados ao Programa de Alimentação Escolar, Colégios Estaduais Agrícolas e Florestal e demais estabelecimentos de ensino vinculados à Secretaria de Estado da Educação do Paraná.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Menor Preço;4226000000.0;2897600000.0;2023-10-17;2023-10-31;TB_LICITACOES-2023.csv;a presente licitação tem por objeto o registro de preços, por um período de 1 ano, podendo ser prorrogado por igual período, para futura e eventual aquisição de arroz parboilizado, arroz polido, canjica, feijão preto, milho para pipoca, destinados ao programa de alimentação escolar, colégios estaduais agrícolas e florestal e demais estabelecimentos de ensino vinculados à secretaria de estado da educação do paraná.;0.685660198769522;False;14.0;2023;219;fundepar-instituto paranaense de desenvolvimento educacional;;;;educacao;0.10496570696679516;0.17306564068370733;0.002815806391426899;Regular;False;;;;
852;2021;Pregão Eletrônico;Suspenso;"contratação de empresa com vista à seguinte prestação de serviço: manutenção predial, com fornecimento de materiais.
";UENP-Universidade Estadual do Norte do Paraná;Menor Preço;91150327.0;;2021-08-11;;TB_LICITACOES-2021.csv;contratação de empresa com vista à seguinte prestação de serviço: manutenção predial, com fornecimento de materiais.;;False;;2021;36;uenp-universidade estadual do norte do parana;;;;servicos;0.1049412686400492;0.1695043448341445;0.008096654348906251;Regular;False;;;;
